ncrb_state_raw,ncrb_district_raw,canonical_state,canonical_district,state_code,district_code_pc11
UTTAR PRADESH,Auraiya,UTTAR PRADESH,AURAIYA,9,162.0
ARUNACHAL PRADESH,Subansiri Lower,ARUNACHAL PRADESH,SUBANSIRI LOWER,12,255.0
CHHATTISGARH,Dhamtari,CHHATTISGARH,DHAMTARI,22,412.0
ASSAM,Haren,ASSAM,KARBI ANGLONG,18,314.0
JHARKHAND,Bokaro,JHARKHAND,BOKARO,20,355.0
BIHAR,Nawadah,BIHAR,NAWADAH,10,237.0
CHHATTISGARH,Gariyaband,CHHATTISGARH,RAIPUR,22,410.0
MAHARASHTRA,Gadchiroli,MAHARASHTRA,GADCHIROLI,27,508.0
NAGALAND,Wokha,NAGALAND,WOKHA,13,264.0
PUDUCHERRY,Karaikal,PUDUCHERRY,PUDUCHERRY,34,635.0
MADHYA PRADESH,Harda,MADHYA PRADESH,HARDA,23,448.0
UTTAR PRADESH,Jaunpur,UTTAR PRADESH,JAUNPUR,9,194.0
TAMIL NADU,Nagapattinam,TAMIL NADU,NAGAPATTINAM,33,618.0
ANDHRA PRADESH,Guntur,ANDHRA PRADESH,GUNTUR,28,548.0
MAHARASHTRA,Solapur Commr.,MAHARASHTRA,SOLAPUR,27,526.0
UTTAR PRADESH,Etawah,UTTAR PRADESH,ETAWAH,9,161.0
MAHARASHTRA,Amravati Commr.,MAHARASHTRA,AMRAVATI,27,503.0
KARNATAKA,Vijayapura,KARNATAKA,BIJAPUR,29,557.0
MAHARASHTRA,Gondia,MAHARASHTRA,GONDIA,27,507.0
RAJASTHAN,JODHPUR WEST,RAJASTHAN,JODHPUR,8,113.0
MADHYA PRADESH,Bhind,MADHYA PRADESH,BHIND,23,420.0
ANDHRA PRADESH,Anantapur,ANDHRA PRADESH,ANANTAPUR,28,553.0
MADHYA PRADESH,Hoshangabad,MADHYA PRADESH,HOSHANGABAD,23,449.0
ODISHA,Kendrapara,ODISHA,KENDRAPARA,21,379.0
MEGHALAYA,GARO HILLS NORTH,MEGHALAYA,GARO HILLS EAST,17,294.0
TAMIL NADU,TRICHY URBAN,TAMIL NADU,TRICHY,33,614.0
UTTAR PRADESH,Ambedkar Nagar,UTTAR PRADESH,AMBEDKAR NAGAR,9,178.0
CHHATTISGARH,Mungali,CHHATTISGARH,BILASPUR,22,406.0
MEGHALAYA,Khasi Hills East,MEGHALAYA,KHASI HILLS EAST,17,298.0
KARNATAKA,Dharwad,KARNATAKA,DHARWAD,29,562.0
TAMIL NADU,THIRUNELVELI RURAL,TAMIL NADU,THIRUNELVELI,33,628.0
HIMACHAL PRADESH,Kangra,HIMACHAL PRADESH,KANGRA,2,24.0
UTTAR PRADESH,Maharajganj,UTTAR PRADESH,MAHARAJGANJ,9,187.0
KARNATAKA,Kodagu,KARNATAKA,KODAGU,29,576.0
GUJARAT,Surat City,GUJARAT,SURAT,24,492.0
MEGHALAYA,Jaintia Hills East,MEGHALAYA,JAINTIA HILLS,17,299.0
BIHAR,Bhabhua,BIHAR,BHABHUA,10,233.0
TAMIL NADU,Ramnathapuram,TAMIL NADU,RAMNATHAPURAM,33,626.0
MAHARASHTRA,NAGPUR RURAL,MAHARASHTRA,NAGPUR,27,505.0
